,carat,cut,color,clarity,depth,table,price,x,y,z
6116,0.93,Ideal,H,SI1,61.6,54.0,3985,6.29,6.33,3.89
6117,1.39,Premium,I,I1,62.6,57.0,3985,7.15,7.1,4.46
6118,0.91,Ideal,G,SI2,61.6,56.0,3985,6.24,6.22,3.84
6119,0.92,Very Good,G,SI1,62.5,60.0,3986,6.19,6.26,3.89
6120,0.91,Very Good,E,SI2,60.5,59.0,3986,6.26,6.34,3.81
6121,1.13,Very Good,I,SI2,59.1,63.0,3987,6.85,6.82,4.04
6122,1.13,Premium,J,SI2,62.4,59.0,3987,6.68,6.62,4.15
6123,1.13,Premium,I,SI2,62.2,59.0,3987,6.67,6.61,4.13
6124,1.02,Ideal,H,I1,62.1,56.0,3987,6.45,6.4,3.99
6125,0.93,Ideal,H,SI1,62.8,56.0,3988,6.19,6.27,3.91
6126,0.9,Premium,H,VS2,62.1,58.0,3989,6.16,6.2,3.84
6127,0.9,Good,H,VS2,63.1,60.0,3989,6.08,6.12,3.85
6128,0.9,Very Good,H,VS2,62.6,58.0,3989,6.14,6.22,3.87
6129,0.9,Very Good,H,VS2,62.1,57.0,3989,6.16,6.23,3.85
6130,0.9,Good,H,VS2,61.9,58.0,3989,6.14,6.18,3.81
6131,0.9,Very Good,D,SI2,59.5,58.0,3989,6.28,6.33,3.75
6132,0.96,Premium,D,SI2,60.0,60.0,3989,6.47,6.43,3.87
6133,1.06,Premium,E,SI2,60.0,59.0,3989,6.64,6.59,3.97
6134,1.05,Good,F,SI2,63.6,59.0,3989,6.4,6.36,4.06
6135,0.7,Ideal,E,VVS2,62.3,53.7,3990,5.67,5.72,3.55
6136,0.93,Ideal,E,SI2,62.1,55.0,3990,6.27,6.29,3.9
6137,0.9,Ideal,D,SI2,62.7,57.0,3990,6.1,6.15,3.84
6138,0.93,Ideal,D,SI2,62.5,55.0,3990,6.2,6.24,3.89
6139,0.83,Ideal,D,SI1,61.3,56.0,3990,6.04,6.06,3.71
6140,0.9,Good,G,VS2,62.0,63.0,3990,6.06,6.13,3.78
6141,1.25,Fair,H,SI2,64.4,58.0,3990,6.82,6.71,4.36
6142,0.73,Ideal,F,VVS1,61.8,54.0,3990,5.8,5.78,3.58
6143,0.91,Ideal,G,SI1,62.6,56.0,3991,6.27,6.3,3.81
6144,1.0,Very Good,J,SI2,62.8,54.0,3991,6.35,6.43,4.01
6145,1.0,Very Good,H,SI2,64.1,54.0,3991,6.3,6.33,4.05
6146,0.91,Very Good,F,SI1,63.7,58.0,3991,6.08,6.11,3.88
6148,1.0,Good,H,SI2,63.2,60.0,3991,6.27,6.33,3.98
6149,1.0,Good,H,SI2,59.0,61.0,3991,6.42,6.46,3.8
6151,1.01,Ideal,I,VS1,62.8,57.0,3991,6.42,6.38,4.02
6152,1.0,Premium,H,SI1,61.8,60.0,3991,6.37,6.31,3.92
6153,1.08,Premium,F,SI2,62.7,58.0,3992,6.53,6.49,4.08
6154,0.9,Very Good,I,VS2,59.3,59.0,3992,6.27,6.3,3.73
6156,0.9,Premium,F,SI1,62.8,59.0,3992,6.16,6.13,3.86
6157,0.9,Very Good,F,SI1,59.6,63.0,3992,6.24,6.17,3.7
6158,0.9,Good,F,SI1,63.9,59.0,3992,6.09,6.06,3.88
6159,0.9,Very Good,F,SI1,63.4,62.0,3992,6.05,6.0,3.82
6160,0.9,Ideal,F,SI1,62.4,56.0,3992,6.22,6.18,3.87
6161,0.9,Premium,F,SI1,61.6,60.0,3992,6.19,6.14,3.8
6162,0.81,Very Good,F,VVS2,63.1,56.0,3992,5.99,5.9,3.75
6163,0.9,Good,F,SI1,63.9,58.0,3992,6.08,6.03,3.87
6164,0.91,Good,F,SI1,63.7,58.0,3993,6.1,6.17,3.91
6165,0.74,Very Good,E,VVS1,63.5,58.0,3993,5.78,5.72,3.65
6166,0.97,Premium,F,SI2,61.9,58.0,3993,6.35,6.31,3.92
6167,0.97,Premium,F,SI2,59.9,59.0,3993,6.45,6.38,3.84
6168,0.91,Very Good,I,VS2,61.5,58.0,3994,6.2,6.23,3.82
6169,0.95,Ideal,H,SI2,59.3,59.0,3994,6.42,6.46,3.82
6170,0.91,Good,F,SI1,64.4,60.0,3994,6.05,6.1,3.91
6171,1.06,Very Good,H,SI2,62.6,60.0,3996,6.43,6.47,4.04
6172,0.77,Ideal,H,VS2,61.3,56.0,3996,5.91,5.94,3.63
6173,1.02,Premium,F,SI2,58.0,60.0,3996,6.7,6.64,3.87
6174,0.85,Very Good,E,VS2,63.6,56.0,3997,5.97,6.01,3.81
6175,1.01,Ideal,J,SI2,61.4,56.0,3997,6.44,6.47,3.97
6176,0.92,Ideal,D,SI2,60.3,56.0,3997,6.32,6.35,3.82
6177,0.9,Very Good,D,SI1,61.1,63.0,3997,6.21,6.17,3.78
6178,0.9,Very Good,D,SI1,62.4,63.0,3997,6.18,6.15,3.85
6179,0.9,Very Good,D,SI1,62.5,63.0,3997,6.14,6.11,3.83
6180,0.9,Premium,D,SI1,62.8,59.0,3997,6.1,6.06,3.82
6181,0.9,Very Good,D,SI1,63.2,62.0,3997,6.13,6.06,3.85
6182,1.03,Ideal,I,SI2,62.2,57.0,3997,6.5,6.46,4.03
6183,1.01,Very Good,I,SI2,63.7,57.0,3998,6.32,6.36,4.04
6184,1.01,Very Good,J,SI1,62.8,57.0,3998,6.37,6.41,4.01
6185,0.91,Very Good,H,SI1,59.2,60.0,3998,6.3,6.41,3.76
6186,1.02,Premium,H,SI2,62.4,59.0,3998,6.42,6.37,3.99
6187,1.02,Good,I,SI1,64.2,53.0,3998,6.3,6.26,4.03
6188,1.0,Premium,G,SI2,59.0,62.0,3998,6.52,6.47,3.83
6189,1.19,Premium,H,SI2,61.5,58.0,3998,6.88,6.78,4.2
6190,1.02,Very Good,H,SI2,63.5,60.0,3998,6.33,6.24,3.99
6191,1.0,Premium,G,SI2,62.2,57.0,3998,6.29,6.25,3.9
6192,1.01,Good,H,SI2,63.7,55.0,3999,6.32,6.37,4.04
6193,1.01,Premium,H,SI2,59.4,59.0,3999,6.53,6.56,3.89
6194,1.01,Ideal,I,SI1,60.6,57.0,3999,6.51,6.56,3.96
6195,0.7,Ideal,E,VS1,61.2,56.0,4000,5.72,5.75,3.51
6196,1.07,Very Good,I,SI1,58.4,60.0,4001,6.68,6.78,3.93
6197,0.9,Ideal,G,SI1,61.6,57.0,4001,6.17,6.24,3.82
6198,0.9,Ideal,H,SI2,62.1,55.0,4001,6.17,6.2,3.84
6199,1.03,Good,G,SI2,63.7,60.0,4001,6.35,6.28,4.02
6200,0.8,Very Good,G,VVS2,62.5,56.0,4002,5.95,5.98,3.73
6201,0.99,Very Good,J,SI1,60.3,57.0,4002,6.44,6.49,3.9
6202,0.7,Very Good,D,VS1,59.3,55.0,4003,5.86,5.83,3.47
6203,0.89,Very Good,E,SI1,62.7,57.0,4003,6.08,6.13,3.83
6204,1.01,Ideal,G,SI1,62.9,57.0,4004,6.37,6.3,3.98
6205,1.01,Very Good,F,SI2,60.7,57.0,4004,6.42,6.46,3.91
6206,1.01,Good,F,SI2,63.1,58.0,4004,6.34,6.38,4.01
6207,1.0,Good,E,SI2,60.5,61.0,4004,6.31,6.38,3.84
6208,1.0,Very Good,E,SI2,58.8,62.0,4004,6.5,6.53,3.83
6209,1.0,Very Good,E,SI2,59.5,63.0,4004,6.41,6.47,3.83
6210,1.0,Very Good,E,SI2,59.1,61.0,4004,6.39,6.44,3.79
6211,1.02,Very Good,H,SI2,58.3,61.0,4004,6.57,6.63,3.85
6212,1.02,Very Good,H,SI2,63.5,58.0,4004,6.34,6.38,4.04
6213,0.9,Very Good,F,SI1,63.3,55.0,4004,6.05,6.08,3.84
6214,0.9,Good,F,SI1,58.8,60.0,4004,6.22,6.26,3.67
6215,1.01,Fair,G,SI1,64.2,59.0,4004,6.31,6.28,4.04
6216,1.01,Good,D,SI2,64.0,59.0,4004,6.34,6.28,4.04
6217,1.1,Premium,H,SI2,59.5,57.0,4004,6.81,6.74,4.03
6218,1.1,Premium,H,SI2,62.8,55.0,4004,6.68,6.57,4.16
6219,0.75,Very Good,E,VVS2,62.8,57.0,4005,5.74,5.78,3.62
6220,0.9,Good,F,SI1,62.6,58.0,4006,6.1,6.14,3.83
6221,0.9,Ideal,H,VS2,62.6,57.0,4007,6.19,6.15,3.86
6222,0.75,Ideal,D,VS1,62.0,58.0,4007,5.77,5.84,3.6
6223,0.71,Ideal,H,IF,61.2,56.0,4007,5.76,5.86,3.54
6224,1.06,Premium,I,SI2,58.4,58.0,4007,6.7,6.65,3.9
6225,0.9,Premium,D,SI2,62.9,56.0,4007,6.19,6.09,3.86
6226,0.9,Ideal,D,SI2,62.4,56.0,4007,6.24,6.16,3.87
6227,1.01,Premium,F,SI2,61.8,59.0,4008,6.41,6.31,3.93
6228,0.91,Very Good,I,VS2,59.9,58.0,4008,6.35,6.27,3.78
6229,1.03,Ideal,J,SI2,62.1,54.0,4008,6.47,6.51,4.03
6230,0.9,Ideal,G,SI1,60.8,58.0,4008,6.2,6.29,3.8
6231,0.9,Ideal,G,SI1,61.9,59.0,4008,6.16,6.19,3.82
6232,0.9,Ideal,G,SI1,61.6,58.0,4008,6.16,6.21,3.81
6233,0.9,Good,G,SI1,62.5,62.0,4008,6.04,6.09,3.79
6234,0.9,Very Good,F,SI1,63.0,61.0,4009,6.09,6.14,3.85
6235,0.83,Ideal,F,SI1,61.8,55.0,4009,6.01,6.06,3.73
6236,1.05,Very Good,E,SI2,61.7,59.0,4010,6.52,6.58,4.04
6237,1.17,Good,G,SI2,63.6,62.0,4010,6.65,6.55,4.2
6238,0.93,Premium,F,SI1,58.8,60.0,4010,6.49,6.37,3.78
6239,0.93,Premium,F,SI1,62.5,58.0,4010,6.22,6.19,3.88
6240,0.92,Very Good,E,SI2,62.1,58.0,4011,6.18,6.22,3.85
6241,0.92,Premium,E,SI2,61.7,59.0,4011,6.18,6.27,3.84
6242,0.92,Ideal,E,SI2,62.2,56.0,4011,6.2,6.24,3.87
6243,0.92,Ideal,E,SI2,62.1,57.0,4011,6.2,6.26,3.87
6244,0.92,Ideal,E,SI2,62.1,53.0,4011,6.22,6.25,3.87
6245,0.9,Ideal,I,VVS2,61.9,55.0,4011,6.21,6.23,3.85
6246,1.01,Good,F,SI2,58.3,60.0,4011,6.64,6.66,3.88
6247,1.01,Good,F,SI2,59.4,60.0,4011,6.44,6.49,3.84
6248,1.27,Premium,J,VS2,62.8,58.0,4011,6.96,6.92,4.36
6249,0.91,Very Good,H,VS2,63.5,57.0,4012,6.12,6.16,3.9
6250,0.87,Ideal,D,SI2,61.4,54.0,4012,6.15,6.2,3.79
6251,0.74,Ideal,F,VVS1,60.9,57.0,4013,5.83,5.86,3.56
6252,0.9,Good,F,SI2,61.9,59.0,4013,6.09,6.12,3.78
6253,1.04,Very Good,F,SI2,63.2,58.0,4013,6.39,6.34,4.02
6254,1.04,Ideal,I,VS2,62.9,56.0,4013,6.5,6.41,4.06
6255,1.04,Premium,F,SI2,62.8,60.0,4013,6.41,6.38,4.01
6256,0.71,Very Good,D,VVS2,61.7,58.0,4014,5.71,5.74,3.53
6257,1.12,Premium,H,SI2,62.1,56.0,4014,6.7,6.65,4.14
6258,1.12,Premium,E,I1,61.0,59.0,4014,6.74,6.7,4.1
6259,1.0,Premium,E,SI2,60.4,62.0,4014,6.52,6.42,3.91
6260,1.0,Very Good,H,SI2,63.0,61.0,4015,6.31,6.35,3.99
6261,1.0,Good,I,SI1,63.2,56.0,4015,6.31,6.37,4.01
6262,0.71,Ideal,G,VVS1,61.2,56.0,4015,5.75,5.81,3.54
6263,0.9,Ideal,H,SI2,61.0,56.0,4016,6.23,6.29,3.82
6264,0.9,Good,F,SI1,59.3,56.0,4016,6.27,6.32,3.73
6265,1.01,Good,I,VS1,63.8,57.0,4016,6.31,6.23,4.0
6266,1.01,Very Good,F,SI2,60.8,63.0,4017,6.38,6.32,3.86
6267,1.01,Premium,F,SI2,62.5,61.0,4017,6.37,6.33,3.97
6268,1.01,Ideal,F,SI2,62.7,57.0,4017,6.43,6.37,4.01
6269,1.25,Premium,J,SI2,61.3,58.0,4018,6.98,6.95,4.27
6270,0.97,Very Good,I,VS2,62.2,55.9,4018,6.34,6.29,3.94
6271,1.05,Premium,G,SI2,62.7,54.0,4018,6.51,6.48,4.07
6272,0.91,Premium,H,VS2,62.5,59.0,4018,6.19,6.09,3.84
6273,0.97,Premium,F,SI2,58.9,58.0,4020,6.51,6.47,3.82
6274,0.97,Good,H,SI1,62.1,60.0,4020,6.24,6.29,3.89
6275,1.07,Ideal,G,SI2,61.1,57.0,4021,6.61,6.65,4.05
6276,0.9,Very Good,H,VS1,62.5,56.0,4021,6.13,6.19,3.85
6277,0.9,Very Good,H,VS1,63.0,62.0,4021,6.09,6.0,3.81
6278,1.15,Very Good,J,SI2,63.6,57.0,4021,6.6,6.64,4.21
6279,0.7,Ideal,F,VVS1,62.7,54.0,4021,5.66,5.7,3.56
6280,0.7,Very Good,D,VVS2,62.8,60.0,4022,5.65,5.69,3.56
6281,1.01,Premium,G,SI2,59.4,60.0,4022,6.55,6.58,3.9
6282,0.65,Ideal,D,VVS1,61.8,57.0,4022,5.54,5.56,3.43
6283,0.91,Ideal,I,VS1,61.9,56.0,4022,6.2,6.23,3.85
6284,0.9,Good,G,VS2,63.6,59.0,4022,6.1,6.04,3.86
6285,1.14,Premium,J,SI2,62.3,56.0,4022,6.73,6.66,4.17
6286,0.9,Premium,G,VS2,61.0,58.0,4022,6.2,6.13,3.76
6287,0.9,Premium,G,VS2,59.6,61.0,4022,6.25,6.2,3.71
6288,1.14,Premium,D,I1,61.8,59.0,4022,6.74,6.62,4.13
6289,1.5,Premium,H,I1,62.9,60.0,4022,7.31,7.22,4.57
6290,1.5,Good,H,I1,64.0,56.0,4022,7.18,7.05,4.56
6291,1.0,Premium,F,SI1,62.8,61.0,4022,6.37,6.25,3.96
6292,1.01,Very Good,H,SI2,63.9,56.0,4023,6.29,6.38,4.05
6293,0.83,Ideal,E,SI1,61.5,55.0,4024,6.05,6.08,3.73
6294,1.23,Ideal,H,I1,61.8,56.0,4025,6.85,6.91,4.25
6295,0.56,Very Good,D,IF,62.5,59.0,4025,5.26,5.3,3.3
6296,1.13,Good,F,SI2,64.0,58.0,4025,6.58,6.52,4.19
6297,1.13,Premium,F,SI2,58.3,61.0,4025,6.88,6.78,3.98
6298,0.91,Premium,F,SI1,61.0,59.0,4026,6.23,6.19,3.79
6299,0.96,Premium,H,SI1,63.0,58.0,4026,6.27,6.23,3.94
6300,1.0,Good,E,SI2,64.0,54.0,4026,6.31,6.26,4.01
6301,0.71,Ideal,E,VVS1,61.9,55.0,4027,5.73,5.77,3.56
6302,0.94,Premium,E,SI2,62.4,58.0,4027,6.33,6.26,3.93
6303,1.16,Ideal,J,SI1,60.7,57.0,4028,6.83,6.77,4.13
6304,1.01,Good,F,SI2,61.3,62.0,4028,6.44,6.48,3.96
6305,1.11,Premium,I,SI2,61.2,61.0,4028,6.69,6.65,4.08
6306,1.11,Very Good,H,SI2,63.4,55.0,4028,6.54,6.51,4.14
6307,1.0,Good,H,VS2,63.8,59.0,4028,6.28,6.26,4.0
6308,1.11,Very Good,H,SI2,61.5,59.0,4029,6.56,6.61,4.05
6309,0.71,Ideal,D,VS2,60.1,56.0,4029,5.77,5.83,3.48
6310,0.71,Ideal,D,VS2,61.2,57.0,4029,5.72,5.76,3.51
6311,0.71,Ideal,D,VS2,61.2,55.0,4029,5.74,5.78,3.53
6312,0.71,Ideal,D,VS2,60.9,56.0,4029,5.76,5.79,3.52
6313,0.71,Ideal,D,VS2,61.7,56.0,4029,5.71,5.74,3.53
6314,0.91,Ideal,G,VS1,61.3,56.0,4029,6.28,6.21,3.83
6315,0.71,Ideal,E,VVS2,61.2,57.0,4030,5.73,5.8,3.53
6316,0.83,Ideal,F,VS1,62.0,57.0,4030,6.02,5.97,3.72
6317,0.91,Very Good,E,SI1,61.9,61.0,4031,6.11,6.14,3.79
6318,1.06,Premium,H,SI2,62.6,58.0,4031,6.52,6.46,4.06
6319,1.0,Premium,H,SI2,61.0,57.0,4032,6.51,6.4,3.94
6320,1.0,Premium,J,VS1,62.8,57.0,4032,6.39,6.35,4.0
6321,1.0,Ideal,J,VS1,62.3,56.0,4032,6.43,6.38,3.99
6322,0.57,Very Good,D,IF,61.3,57.0,4032,5.33,5.41,3.29
6323,0.9,Ideal,G,SI2,61.5,57.0,4032,6.19,6.23,3.82
6326,1.0,Very Good,I,SI1,60.4,63.0,4032,6.44,6.37,3.87
6327,1.2,Premium,H,SI2,59.8,58.0,4032,6.92,6.83,4.11
6328,0.9,Premium,H,VS2,61.6,58.0,4032,6.26,6.18,3.83
6329,1.01,Good,E,SI1,64.2,56.0,4032,6.31,6.27,4.04
6330,1.0,Premium,H,SI2,62.7,59.0,4032,6.35,6.31,3.97
6332,1.5,Premium,E,I1,61.5,58.0,4032,7.38,7.2,4.5
6333,0.93,Very Good,I,VS1,62.6,59.0,4033,6.17,6.2,3.87
6334,0.91,Ideal,H,VS2,62.6,57.0,4033,6.2,6.23,3.89
6335,1.0,Very Good,F,SI2,63.4,55.0,4033,6.3,6.38,4.02
6336,0.9,Very Good,E,SI1,60.1,58.0,4034,6.25,6.29,3.77
6337,0.9,Ideal,E,SI2,61.7,56.0,4034,6.21,6.26,3.85
6338,0.9,Ideal,E,SI1,60.1,56.0,4034,6.3,6.35,3.8
6339,1.03,Ideal,E,SI1,58.9,56.0,4035,6.61,6.57,3.88
6340,1.0,Very Good,F,SI2,63.4,58.0,4036,6.31,6.25,3.98
6341,0.9,Ideal,G,SI1,62.4,55.0,4036,6.19,6.15,3.85
6343,0.91,Premium,F,SI1,61.7,59.0,4036,6.21,6.17,3.82
6344,0.32,Very Good,I,VS2,63.2,56.0,576,4.38,4.32,2.75
6345,0.32,Premium,I,VS2,62.8,58.0,576,4.37,4.33,2.73
6346,0.32,Ideal,I,VS2,63.0,57.0,576,4.37,4.33,2.74
6347,0.32,Ideal,I,VS2,63.0,55.0,576,4.39,4.34,2.75
6348,0.32,Very Good,I,VS2,63.4,55.0,576,4.37,4.33,2.76
6349,0.32,Premium,H,SI1,61.9,59.0,576,4.41,4.38,2.72
6350,0.32,Very Good,H,SI1,63.1,54.0,576,4.42,4.36,2.77
6351,0.32,Premium,H,SI1,61.3,60.0,576,4.42,4.36,2.69
6352,0.32,Premium,H,SI1,62.2,56.0,576,4.39,4.36,2.72
6353,0.32,Premium,H,SI1,61.9,58.0,576,4.38,4.34,2.7
6354,0.32,Very Good,H,SI1,63.1,55.0,576,4.37,4.34,2.75
6355,0.32,Premium,E,SI2,61.2,58.0,576,4.44,4.39,2.7
6356,0.32,Ideal,E,SI2,62.7,55.0,576,4.42,4.39,2.76
6357,0.32,Premium,E,SI2,61.7,60.0,576,4.41,4.38,2.71
6358,0.3,Premium,H,VS1,60.0,60.0,576,4.4,4.3,2.61
6359,0.25,Very Good,F,VVS2,62.0,59.0,576,3.99,4.04,2.49
6360,0.25,Very Good,F,VVS1,60.7,59.0,576,4.07,4.1,2.48
6361,0.25,Premium,E,VVS1,60.7,60.0,576,4.09,4.11,2.49
6362,0.25,Ideal,E,VVS1,61.2,57.0,576,4.08,4.12,2.51
6363,0.25,Premium,E,VVS2,61.5,59.0,576,4.02,4.04,2.48
6364,0.25,Premium,E,VVS2,62.5,59.0,576,4.02,4.05,2.52
6365,0.25,Ideal,E,VVS2,62.1,57.0,576,4.04,4.07,2.52
6366,0.25,Premium,E,VVS2,62.0,59.0,576,4.05,4.08,2.52
6367,0.25,Premium,F,IF,61.1,58.0,576,4.08,4.1,2.5
6368,0.25,Very Good,E,VVS1,62.9,59.0,576,3.99,4.02,2.52
6369,0.25,Premium,E,VVS2,62.5,59.0,576,4.02,4.04,2.52
6370,0.25,Good,E,VVS2,63.1,56.0,576,4.0,4.05,2.54
6371,0.25,Ideal,E,VVS2,61.6,57.0,576,4.08,4.1,2.52
6372,0.25,Very Good,E,VVS1,62.9,58.0,576,4.01,4.03,2.53
6373,0.36,Premium,F,SI1,60.2,58.0,576,4.6,4.63,2.78
6374,1.04,Premium,J,SI1,60.2,56.0,4036,6.61,6.54,3.96
6375,0.77,Premium,D,VS1,59.4,59.0,4037,5.96,6.0,3.55
6376,0.92,Premium,F,SI1,61.8,59.0,4037,6.21,6.25,3.85
6377,0.92,Very Good,F,SI1,62.9,56.0,4037,6.2,6.24,3.91
6378,0.92,Very Good,F,SI1,62.7,57.0,4037,6.14,6.2,3.87
6379,1.0,Very Good,F,SI2,62.9,59.0,4037,6.27,6.38,3.98
6380,1.02,Premium,H,SI1,59.1,60.0,4037,6.59,6.54,3.88
6381,1.01,Premium,G,SI2,61.8,58.0,4038,6.39,6.36,3.94
6382,1.01,Premium,G,SI2,62.1,61.0,4038,6.38,6.27,3.93
6383,1.01,Premium,G,SI2,63.0,58.0,4038,6.34,6.29,3.98
6384,1.03,Premium,I,SI1,61.0,58.0,4038,6.52,6.47,3.96
6386,1.01,Ideal,G,SI2,61.2,57.0,4038,6.45,6.4,3.92
6387,1.01,Premium,G,SI2,61.1,58.0,4038,6.39,6.37,3.9
6388,1.01,Ideal,G,SI2,63.2,57.0,4038,6.33,6.28,3.99
6389,1.03,Premium,H,SI2,62.1,59.0,4038,6.47,6.42,4.0
6390,1.02,Very Good,H,SI2,60.9,58.0,4039,6.41,6.53,3.94
6391,1.02,Very Good,H,SI2,61.1,61.0,4039,6.48,6.51,3.97
6392,0.76,Ideal,E,VS2,62.1,55.0,4039,5.84,5.88,3.64
6393,0.77,Ideal,D,VS1,62.2,55.0,4039,5.85,5.88,3.65
6394,0.92,Premium,H,VS1,61.7,62.0,4039,6.2,6.12,3.8
6395,1.13,Premium,E,SI2,59.4,62.0,4040,6.83,6.78,4.04
6396,0.74,Fair,D,VVS2,65.4,53.0,4040,5.73,5.71,3.74
6397,0.91,Very Good,D,SI1,63.1,61.0,4041,6.16,6.1,3.87
6398,1.05,Very Good,H,SI2,61.4,58.0,4042,6.54,6.58,4.03
6399,1.0,Very Good,H,SI2,62.5,58.0,4042,6.27,6.36,3.95
6400,0.71,Ideal,E,VVS2,62.0,53.9,4042,5.73,5.77,3.57
6401,0.54,Ideal,D,VVS1,61.3,56.0,4042,5.24,5.26,3.22
6403,1.02,Premium,F,SI2,61.0,58.0,4043,6.49,6.52,3.97
6404,0.8,Ideal,F,VS2,60.9,57.0,4043,5.98,6.04,3.66
6405,0.8,Ideal,F,VS2,62.1,56.0,4043,5.93,5.98,3.7
6406,1.04,Premium,J,VS2,58.7,58.0,4043,6.68,6.61,3.9
6407,0.9,Ideal,H,VS2,62.4,56.0,4044,6.15,6.18,3.85
6408,0.9,Premium,H,VS2,60.6,60.0,4044,6.24,6.3,3.8
6409,1.01,Premium,E,SI2,60.6,58.0,4044,6.47,6.53,3.94
6410,1.01,Ideal,E,SI2,61.7,57.0,4044,6.5,6.47,4.0
6411,0.9,Ideal,G,SI2,61.4,56.0,4044,6.19,6.23,3.81
6412,1.02,Premium,D,SI2,61.3,62.0,4044,6.46,6.42,3.95
6414,1.02,Premium,D,SI2,62.3,58.0,4044,6.42,6.37,3.99
6415,1.02,Ideal,G,SI1,62.4,56.0,4044,6.42,6.37,3.99
6416,1.02,Ideal,D,SI2,62.5,57.0,4044,6.43,6.38,4.0
6417,1.02,Fair,G,SI1,64.5,56.0,4044,6.3,6.23,4.04
6418,1.2,Fair,G,SI2,65.5,59.0,4044,6.73,6.53,4.34
6419,0.91,Premium,G,SI1,62.6,58.0,4045,6.14,6.17,3.85
6420,0.91,Very Good,G,SI1,62.8,58.0,4045,6.15,6.18,3.87
6421,0.91,Premium,G,SI1,62.2,59.0,4045,6.15,6.19,3.84
6422,0.91,Premium,G,SI1,61.8,60.0,4045,6.18,6.21,3.83
6423,1.29,Very Good,G,SI2,63.2,54.0,4045,6.96,6.94,4.39
6424,1.09,Premium,J,SI1,62.3,59.0,4046,6.55,6.59,4.09
6425,0.79,Ideal,H,IF,61.3,56.0,4046,5.96,5.98,3.66
6426,1.01,Very Good,I,SI2,63.7,56.0,4047,6.33,6.38,4.05
6427,0.9,Premium,F,SI1,62.3,58.0,4047,6.18,6.12,3.83
6428,0.72,Ideal,D,VS1,61.7,56.0,4047,5.77,5.81,3.57
6430,1.01,Fair,G,SI2,58.3,62.0,4047,6.46,6.5,3.78
6431,1.09,Premium,G,SI2,60.7,57.0,4047,6.72,6.62,4.06
6432,1.1,Ideal,H,VS2,62.6,57.0,4048,6.61,6.56,4.12
6433,0.91,Very Good,F,SI1,62.3,60.0,4049,6.08,6.15,3.81
6434,0.91,Ideal,G,SI1,61.8,57.0,4049,6.16,6.2,3.82
6436,1.14,Very Good,F,I1,61.3,55.8,4050,6.74,6.76,4.13
6437,0.93,Premium,H,VS2,61.0,60.0,4050,6.29,6.26,3.82
6438,1.23,Good,D,I1,63.7,58.0,4050,6.79,6.72,4.3
6439,0.91,Premium,D,SI2,61.5,56.0,4051,6.27,6.22,3.84
6440,0.91,Premium,D,SI2,62.2,59.0,4051,6.23,6.19,3.86
6441,0.91,Premium,D,SI2,61.1,60.0,4051,6.29,6.24,3.83
6442,1.01,Very Good,H,SI1,62.5,58.0,4052,6.37,6.42,4.0
6443,0.99,Good,F,SI2,63.3,54.0,4052,6.36,6.43,4.05
6444,0.9,Premium,G,VS2,62.8,60.0,4052,6.14,6.08,3.84
6445,0.71,Ideal,E,VS1,61.1,57.0,4053,5.74,5.78,3.52
6446,0.71,Ideal,E,VS1,61.9,56.0,4053,5.7,5.73,3.54
6447,0.8,Ideal,E,SI1,61.1,56.0,4053,5.98,6.01,3.66
6448,1.0,Good,F,SI2,61.8,58.0,4053,6.43,6.48,3.99
6450,1.17,Good,J,SI1,63.9,55.0,4054,6.66,6.73,4.28
6451,0.9,Very Good,E,SI1,61.8,60.0,4054,6.14,6.2,3.81
6452,0.9,Very Good,E,SI1,62.2,60.0,4054,6.14,6.17,3.83
6453,0.9,Very Good,F,SI1,59.8,54.0,4054,6.25,6.32,3.76
6454,0.9,Very Good,F,SI1,63.3,57.0,4054,6.1,6.16,3.88
6455,0.91,Very Good,F,SI2,60.9,58.0,4054,6.28,6.2,3.8
6456,1.03,Ideal,J,SI2,62.4,56.0,4054,6.44,6.48,4.03
6457,0.9,Ideal,F,SI1,62.5,56.0,4054,6.13,6.16,3.84
6458,0.88,Ideal,F,SI1,62.3,53.0,4054,6.12,6.15,3.82
6459,0.9,Good,G,VS2,62.1,59.0,4054,6.02,6.16,3.78
6460,0.9,Good,E,SI1,62.4,62.0,4054,6.13,6.17,3.84
6461,1.01,Premium,E,SI2,62.8,57.0,4054,6.41,6.36,4.01
6462,1.11,Fair,J,SI2,64.8,55.1,4056,6.44,6.55,4.21
6463,1.02,Premium,F,SI2,61.1,62.0,4057,6.54,6.49,3.98
6464,1.06,Very Good,G,SI2,63.4,61.0,4057,6.46,6.37,4.07
6465,0.9,Fair,E,VS2,65.0,55.0,4057,6.11,6.04,3.95
6466,1.22,Very Good,J,SI2,62.2,60.0,4058,6.77,6.89,4.25
6468,0.9,Very Good,G,SI1,62.7,59.0,4059,6.12,6.17,3.85
6469,1.04,Ideal,J,SI1,60.8,57.0,4059,6.54,6.59,3.99
6470,0.9,Ideal,G,SI1,62.4,57.0,4059,6.15,6.19,3.85
6471,0.96,Premium,G,SI2,61.1,59.0,4059,6.32,6.28,3.85
6472,1.03,Very Good,G,SI2,63.1,58.0,4060,6.41,6.37,4.03
6473,1.01,Good,G,SI2,63.7,59.0,4060,6.31,6.38,4.04
6474,0.96,Very Good,D,SI2,60.0,60.0,4060,6.43,6.47,3.87
